"MP","club","firstName","lastName","listVotes.GROSZKOWSKI JAKUB","listVotes.WRÓBLEWSKI MIROSŁAW","secondName","vote"
138,"KO","Klaudia","Jachira",NO,YES,"Krystyna","VOTE_VALID"
139,"Kukiz15","Marek","Jakubiak",YES,NO,NA,"VOTE_VALID"
140,"KO","Maria","Janyska",NO,YES,"Małgorzata","VOTE_VALID"
141,"KO","Michał","Jaros",NO,YES,NA,"VOTE_VALID"
142,"KO","Patryk","Jaskulski",NO,YES,"Bartłomiej","VOTE_VALID"
143,"KO","Danuta","Jazłowiecka",NA,NA,"Maria","ABSENT"
144,"KO","Dariusz","Joński",NO,YES,NA,"VOTE_VALID"
145,"KO","Marcin","Józefaciuk",NO,YES,NA,"VOTE_VALID"
146,"PiS","Norbert","Kaczmarczyk",YES,NO,"Jakub","VOTE_VALID"
147,"PiS","Filip","Kaczyński",YES,NO,"Roman","VOTE_VALID"
148,"PiS","Jarosław","Kaczyński",NA,NA,"Aleksander","ABSENT"
149,"PiS","Piotr","Kaleta",YES,NO,"Marek","VOTE_VALID"
150,"PiS","Sebastian","Kaleta",YES,NO,"Jerzy","VOTE_VALID"
151,"PiS","Mariusz","Kałużny",NA,NA,NA,"ABSENT"
153,"KO","Piotr","Kandyba",NO,YES,NA,"VOTE_VALID"
154,"PiS","Jan","Kanthak",YES,NO,"Jakub","VOTE_VALID"
155,"PiS","Fryderyk","Kapinos",YES,NO,"Sylwester","VOTE_VALID"
156,"KO","Jacek","Karnowski",NO,YES,"Karnowski","VOTE_VALID"
157,"KO","Iwona","Karolewska",NO,YES,NA,"VOTE_VALID"
158,"Polska2050-TD","Rafał","Kasprzyk",NO,YES,"Marcin","VOTE_VALID"
159,"PSL-TD","Henryk","Kiepura",NO,YES,NA,"VOTE_VALID"
160,"KO","Marcin","Kierwiński",NO,YES,"Piotr","VOTE_VALID"
161,"KO","Katarzyna","Kierzek-Koperska",NO,YES,"Renata","VOTE_VALID"
162,"PSL-TD","Dariusz","Klimczak",NO,YES,NA,"VOTE_VALID"
163,"KO","Joanna","Kluzik-Rostkowska",NO,YES,"Grażyna","VOTE_VALID"
164,"PSL-TD","Agnieszka","Kłopotek",NO,YES,"Maria","VOTE_VALID"
165,"PiS","Łukasz","Kmita",YES,NO,"Marek","VOTE_VALID"
166,"Polska2050-TD","Michał","Kobosko",NO,YES,"Andrzej","VOTE_VALID"
167,"PiS","Maria","Koc",YES,NO,"Zofia","VOTE_VALID"
168,"KO","Ewa","Kołodziej",NO,YES,"Edyta","VOTE_VALID"
169,"KO","Magdalena","Kołodziejczak",NO,YES,"Małgorzata","VOTE_VALID"
170,"KO","Michał","Kołodziejczak",NO,YES,NA,"VOTE_VALID"
171,"Polska2050-TD","Rafał","Komarewicz",NO,YES,"Paweł","VOTE_VALID"
172,"Lewica","Maciej","Konieczny",NO,YES,NA,"VOTE_VALID"
173,"KO","Zbigniew","Konwiński",NO,YES,"Marek","VOTE_VALID"
174,"PSL-TD","Władysław","Kosiniak-Kamysz",NO,YES,"Marcin","VOTE_VALID"
175,"KO","Tomasz","Kostuś",NO,YES,"Tadeusz","VOTE_VALID"
176,"PiS","Andrzej","Kosztowniak",YES,NO,"Tomasz","VOTE_VALID"
177,"Lewica","Katarzyna","Kotula",NO,YES,NA,"VOTE_VALID"
178,"KO","Paweł","Kowal",NO,YES,NA,"VOTE_VALID"
179,"PiS","Henryk","Kowalczyk",YES,NO,NA,"VOTE_VALID"
180,"PiS","Janusz","Kowalski",YES,NO,"Marcin","VOTE_VALID"
181,"PiS","Bartosz","Kownacki",YES,NO,"Józef","VOTE_VALID"
182,"KO","Iwona","Kozłowska",NO,YES,"Maria","VOTE_VALID"
183,"PSL-TD","Stefan","Krajewski",NO,YES,NA,"VOTE_VALID"
184,"PiS","Wiesław","Krajewski",YES,NO,NA,"VOTE_VALID"
185,"PiS","Leonard","Krasulski",YES,NO,"Seweryn","VOTE_VALID"
186,"KO","Iwona","Krawczyk",NO,YES,"Małgorzata","VOTE_VALID"
187,"KO","Michał","Krawczyk",NO,YES,NA,"VOTE_VALID"
188,"KO","Robert","Kropiwnicki",NO,YES,NA,"VOTE_VALID"
189,"PiS","Piotr","Król",YES,NO,"Marek","VOTE_VALID"
190,"KO","Wojciech","Król",NO,YES,"Piotr","VOTE_VALID"
191,"PiS","Anna","Krupka",NA,NA,"Maria","ABSENT"
192,"PiS","Andrzej","Kryj",YES,NO,"Michał","VOTE_VALID"
193,"PiS","Mariusz","Krystian",YES,NO,"Tomasz","VOTE_VALID"
194,"KO","Marek","Krząkała",NO,YES,"Grzegorz","VOTE_VALID"
195,"KO","Adam","Krzemiński",NO,YES,NA,"VOTE_VALID"
196,"KO","Henryka","Krzywonos-Strycharska",NO,YES,"Krystyna","VOTE_VALID"
197,"PiS","Krzysztof","Kubów",YES,NO,"Jan","VOTE_VALID"
198,"Lewica","Anita","Kucharska-Dziedzic",NO,YES,"Agnieszka","VOTE_VALID"
199,"PiS","Marek","Kuchciński",YES,NO,"Tadeusz","VOTE_VALID"
200,"Kukiz15","Paweł","Kukiz",NA,NA,"Piotr","ABSENT"
201,"Lewica","Marcin","Kulasek",NO,YES,"Robert","VOTE_VALID"
202,"PiS","Maria","Kurowska",YES,NO,"Stanisława","VOTE_VALID"
203,"PiS","Władysław","Kurowski",YES,NO,"Michał","VOTE_VALID"
204,"PiS","Zbigniew","Kuźmiuk",YES,NO,"Krzysztof","VOTE_VALID"
205,"PiS","Anna","Kwiecień",NA,NA,NA,"ABSENT"
206,"KO","Piotr","Lachowicz",NO,YES,"Michał","VOTE_VALID"
207,"KO","Stanisław","Lamczyk",NO,YES,"Józef","VOTE_VALID"
208,"KO","Maciej","Lasek",NO,YES,"Grzegorz","VOTE_VALID"
209,"KO","Gabriela","Lenartowicz",NO,YES,"Teresa","VOTE_VALID"
210,"PiS","Ewa","Leniart",YES,NO,"Maria","VOTE_VALID"
211,"Polska2050-TD","Aleksandra","Leo",NO,YES,"Maria","VOTE_VALID"
212,"KO","Izabela","Leszczyna",NO,YES,"Dorota","VOTE_VALID"
213,"PiS","Joanna","Lichocka",YES,NO,"Katarzyna","VOTE_VALID"
214,"PiS","Krzysztof","Lipiec",NA,NA,"Bogdan","ABSENT"
215,"Lewica","Łukasz","Litewka",NO,YES,"Karol","VOTE_VALID"
216,"PiS","Grzegorz","Lorek",YES,NO,"Andrzej","VOTE_VALID"
217,"PSL-TD","Radosław","Lubczyk",NO,YES,NA,"VOTE_VALID"
218,"KO","Katarzyna","Lubnauer",NO,YES,"Anna","VOTE_VALID"
219,"Polska2050-TD","Adam","Luboński",NO,YES,"Sławomir","VOTE_VALID"
220,"KO","Artur","Łącki",NO,YES,"Jarosław","VOTE_VALID"
221,"KO","Alicja","Łepkowska-Gołaś",NO,YES,NA,"VOTE_VALID"
222,"KO","Dorota","Łoboda",NO,YES,"Ewa","VOTE_VALID"
223,"KO","Krystian","Łuczak",NO,YES,"Marek","VOTE_VALID"
224,"PiS","Sebastian","Łukaszewicz",YES,NO,NA,"VOTE_VALID"
225,"PiS","Marzena","Machałek",YES,NO,"Anna","VOTE_VALID"
226,"PiS","Antoni","Macierewicz",YES,NO,NA,"VOTE_VALID"
227,"PiS","Marlena","Maląg",YES,NO,"Magdalena","VOTE_VALID"
