"MP","club","firstName","lastName","listVotes.HOŁOWNIA SZYMON","listVotes.WITEK ELŻBIETA","secondName","vote"
155,"PiS","Fryderyk","Kapinos",NO,YES,"Sylwester","VOTE_VALID"
156,"KO","Jacek","Karnowski",YES,NO,"Karnowski","VOTE_VALID"
157,"KO","Iwona","Karolewska",YES,NO,NA,"VOTE_VALID"
158,"Polska2050","Rafał","Kasprzyk",YES,NO,"Marcin","VOTE_VALID"
159,"PSL","Henryk","Kiepura",YES,NO,NA,"VOTE_VALID"
160,"KO","Marcin","Kierwiński",YES,NO,"Piotr","VOTE_VALID"
161,"KO","Katarzyna","Kierzek-Koperska",YES,NO,"Renata","VOTE_VALID"
162,"PSL","Dariusz","Klimczak",YES,NO,NA,"VOTE_VALID"
163,"KO","Joanna","Kluzik-Rostkowska",YES,NO,"Grażyna","VOTE_VALID"
164,"PSL","Agnieszka","Kłopotek",YES,NO,"Maria","VOTE_VALID"
165,"PiS","Łukasz","Kmita",NO,YES,"Marek","VOTE_VALID"
166,"Polska2050","Michał","Kobosko",YES,NO,"Andrzej","VOTE_VALID"
167,"PiS","Maria","Koc",NO,YES,"Zofia","VOTE_VALID"
168,"KO","Ewa","Kołodziej",YES,NO,"Edyta","VOTE_VALID"
169,"KO","Magdalena","Kołodziejczak",YES,NO,"Małgorzata","VOTE_VALID"
170,"KO","Michał","Kołodziejczak",YES,NO,NA,"VOTE_VALID"
171,"Polska2050","Rafał","Komarewicz",YES,NO,"Paweł","VOTE_VALID"
172,"Nowa_Lewica","Maciej","Konieczny",YES,NO,NA,"VOTE_VALID"
173,"KO","Zbigniew","Konwiński",YES,NO,"Marek","VOTE_VALID"
174,"PSL","Władysław","Kosiniak-Kamysz",YES,NO,"Marcin","VOTE_VALID"
175,"KO","Tomasz","Kostuś",YES,NO,"Tadeusz","VOTE_VALID"
176,"PiS","Andrzej","Kosztowniak",NO,YES,"Tomasz","VOTE_VALID"
177,"Nowa_Lewica","Katarzyna","Kotula",YES,NO,NA,"VOTE_VALID"
178,"KO","Paweł","Kowal",YES,NO,NA,"VOTE_VALID"
179,"PiS","Henryk","Kowalczyk",NO,YES,NA,"VOTE_VALID"
180,"PiS","Janusz","Kowalski",NO,YES,"Marcin","VOTE_VALID"
181,"PiS","Bartosz","Kownacki",NO,YES,"Józef","VOTE_VALID"
182,"KO","Iwona","Kozłowska",YES,NO,"Maria","VOTE_VALID"
183,"PSL","Stefan","Krajewski",YES,NO,NA,"VOTE_VALID"
184,"PiS","Wiesław","Krajewski",NO,YES,NA,"VOTE_VALID"
185,"PiS","Leonard","Krasulski",NO,YES,"Seweryn","VOTE_VALID"
186,"KO","Iwona","Krawczyk",YES,NO,"Małgorzata","VOTE_VALID"
187,"KO","Michał","Krawczyk",YES,NO,NA,"VOTE_VALID"
188,"KO","Robert","Kropiwnicki",YES,NO,NA,"VOTE_VALID"
189,"PiS","Piotr","Król",NO,YES,"Marek","VOTE_VALID"
190,"KO","Wojciech","Król",YES,NO,"Piotr","VOTE_VALID"
191,"PiS","Anna","Krupka",NO,YES,"Maria","VOTE_VALID"
192,"PiS","Andrzej","Kryj",NO,YES,"Michał","VOTE_VALID"
193,"PiS","Mariusz","Krystian",NO,YES,"Tomasz","VOTE_VALID"
194,"KO","Marek","Krząkała",YES,NO,"Grzegorz","VOTE_VALID"
195,"KO","Adam","Krzemiński",YES,NO,NA,"VOTE_VALID"
196,"KO","Henryka","Krzywonos-Strycharska",YES,NO,"Krystyna","VOTE_VALID"
197,"PiS","Krzysztof","Kubów",NO,YES,"Jan","VOTE_VALID"
198,"Nowa_Lewica","Anita","Kucharska-Dziedzic",YES,NO,"Agnieszka","VOTE_VALID"
199,"PiS","Marek","Kuchciński",NO,YES,"Tadeusz","VOTE_VALID"
200,"PiS","Paweł","Kukiz",NO,YES,"Piotr","VOTE_VALID"
201,"Nowa_Lewica","Marcin","Kulasek",YES,NO,"Robert","VOTE_VALID"
202,"PiS","Maria","Kurowska",NO,YES,"Stanisława","VOTE_VALID"
203,"PiS","Władysław","Kurowski",NO,YES,"Michał","VOTE_VALID"
204,"PiS","Zbigniew","Kuźmiuk",NO,YES,"Krzysztof","VOTE_VALID"
205,"PiS","Anna","Kwiecień",NO,YES,NA,"VOTE_VALID"
206,"KO","Piotr","Lachowicz",YES,NO,"Michał","VOTE_VALID"
207,"KO","Stanisław","Lamczyk",YES,NO,"Józef","VOTE_VALID"
208,"KO","Maciej","Lasek",YES,NO,"Grzegorz","VOTE_VALID"
209,"KO","Gabriela","Lenartowicz",YES,NO,"Teresa","VOTE_VALID"
210,"PiS","Ewa","Leniart",NO,YES,"Maria","VOTE_VALID"
211,"Polska2050","Aleksandra","Leo",YES,NO,"Maria","VOTE_VALID"
212,"KO","Izabela","Leszczyna",YES,NO,"Dorota","VOTE_VALID"
213,"PiS","Joanna","Lichocka",NO,YES,"Katarzyna","VOTE_VALID"
214,"PiS","Krzysztof","Lipiec",NO,YES,"Bogdan","VOTE_VALID"
215,"Nowa_Lewica","Łukasz","Litewka",YES,NO,"Karol","VOTE_VALID"
216,"PiS","Grzegorz","Lorek",NO,YES,"Andrzej","VOTE_VALID"
217,"PSL","Radosław","Lubczyk",YES,NO,NA,"VOTE_VALID"
218,"KO","Katarzyna","Lubnauer",YES,NO,"Anna","VOTE_VALID"
219,"Polska2050","Adam","Luboński",YES,NO,"Sławomir","VOTE_VALID"
220,"KO","Artur","Łącki",YES,NO,"Jarosław","VOTE_VALID"
221,"KO","Alicja","Łepkowska-Gołaś",YES,NO,NA,"VOTE_VALID"
222,"KO","Dorota","Łoboda",YES,NO,"Ewa","VOTE_VALID"
223,"KO","Krystian","Łuczak",YES,NO,"Marek","VOTE_VALID"
224,"PiS","Sebastian","Łukaszewicz",NO,YES,NA,"VOTE_VALID"
225,"PiS","Marzena","Machałek",NO,YES,"Anna","VOTE_VALID"
226,"PiS","Antoni","Macierewicz",NO,YES,NA,"VOTE_VALID"
227,"PiS","Marlena","Maląg",NO,YES,"Magdalena","VOTE_VALID"
228,"PiS","Ewa","Malik",NO,YES,"Danuta","VOTE_VALID"
229,"PSL","Mirosław","Maliszewski",YES,NO,"Wojciech","VOTE_VALID"
230,"PiS","Maciej","Małecki",NO,YES,NA,"VOTE_VALID"
231,"KO","Arkadiusz","Marchewka",YES,NO,NA,"VOTE_VALID"
232,"KO","Jagna","Marczułajtis-Walczak",YES,NO,"Kinga","VOTE_VALID"
233,"KO","Dorota","Marek",YES,NO,NA,"VOTE_VALID"
234,"PiS","Dariusz","Matecki",NA,NA,"Piotr","ABSENT"
235,"PiS","Jerzy","Materna",NO,YES,"Marian","VOTE_VALID"
236,"PiS","Grzegorz","Matusiak",NO,YES,NA,"VOTE_VALID"
237,"KO","Katarzyna","Matusik-Lipiec",YES,NO,"Irena","VOTE_VALID"
238,"PiS","Marek","Matuszewski",NO,YES,NA,"VOTE_VALID"
239,"Nowa_Lewica","Paulina","Matysiak",YES,NO,NA,"VOTE_VALID"
240,"PiS","Łukasz","Mejza",NO,YES,NA,"VOTE_VALID"
241,"Konfederacja","Sławomir","Mentzen",YES,NO,"Jerzy","VOTE_VALID"
242,"PiS","Anna","Milczanowska",NO,YES,"Maria","VOTE_VALID"
243,"PiS","Daniel","Milewski",NO,YES,"George","VOTE_VALID"
244,"KO","Rajmund","Miller",YES,NO,"Tadeusz","VOTE_VALID"
245,"KO","Aleksander","Miszalski",YES,NO,"Jan","VOTE_VALID"
246,"PiS","Mateusz","Morawiecki",NO,YES,"Jakub","VOTE_VALID"
247,"PiS","Jan","Mosiński",NO,YES,NA,"VOTE_VALID"
248,"PiS","Michał","Moskal",NO,YES,NA,"VOTE_VALID"
249,"KO","Czesław","Mroczek",YES,NO,NA,"VOTE_VALID"
250,"PiS","Aleksander","Mrówczyński",NO,YES,"Mikołaj","VOTE_VALID"
251,"KO","Izabela","Mrzygłocka",YES,NO,"Katarzyna","VOTE_VALID"
252,"Polska2050","Joanna","Mucha",YES,NO,NA,"VOTE_VALID"
253,"PiS","Arkadiusz","Mularczyk",NO,YES,NA,"VOTE_VALID"
254,"Konfederacja","Krzysztof","Mulawa",YES,NO,NA,"VOTE_VALID"
255,"PiS","Piotr","Müller",NO,YES,"Józef","VOTE_VALID"
256,"KO","Arkadiusz","Myrcha",YES,NO,NA,"VOTE_VALID"
257,"KO","Grzegorz","Napieralski",YES,NO,"Bernard","VOTE_VALID"
258,"KO","Dorota","Niedziela",YES,NO,NA,"VOTE_VALID"
259,"KO","Jacek","Niedźwiedzki",YES,NO,NA,"VOTE_VALID"
260,"KO","Małgorzata","Niemczyk",YES,NO,"Barbara","VOTE_VALID"
261,"KO","Jolanta","Niezgodzka",YES,NO,"Magdalena","VOTE_VALID"
262,"KO","Sławomir","Nitras",YES,NO,NA,"VOTE_VALID"
263,"KO","Barbara","Nowacka",YES,NO,"Anna","VOTE_VALID"
264,"Polska2050","Maja","Nowak",YES,NO,"Ewa","VOTE_VALID"
265,"KO","Tomasz","Nowak",YES,NO,"Piotr","VOTE_VALID"
266,"Nowa_Lewica","Wanda","Nowicka",YES,NO,"Hanna","VOTE_VALID"
267,"PSL","Urszula","Nowogórska",YES,NO,"Teresa","VOTE_VALID"
268,"KO","Mirosława","Nykiel",YES,NO,NA,"VOTE_VALID"
269,"PiS","Marcin","Ociepa",NO,YES,"Michał","VOTE_VALID"
270,"KO","Marzena","Okła-Drewnowicz",YES,NO,NA,"VOTE_VALID"
271,"Polska2050","Barbara","Okuła",YES,NO,NA,"VOTE_VALID"
272,"Polska2050","Barbara","Oliwiecka",YES,NO,"Anna","VOTE_VALID"
273,"Nowa_Lewica","Dorota","Olko",YES,NO,"Zofia","VOTE_VALID"
274,"KO","Paweł","Olszewski",YES,NO,"Bartosz","VOTE_VALID"
275,"PSL","Mirosław","Orliński",YES,NO,"Adam","VOTE_VALID"
276,"Polska2050","Łukasz","Osmalak",YES,NO,"Tomasz","VOTE_VALID"
277,"KO","Katarzyna","Osos",YES,NO,NA,"VOTE_VALID"
278,"PiS","Jacek","Osuch",NO,YES,"Piotr","VOTE_VALID"
